"","CountryCode","Male_correct","Female_correct","Pvalue_correct","Male_score","Female_score","Pvalue_score","Male_self","Female_self","Pvalue_self"
"1",1,2.54878048780488,2.57954545454545,"0.865093960987315",-1.28048780487805,-1.19318181818182,"0.686350902501633",3.82926829268293,3.77272727272727,"0.717823843794532"
"2",2,1.66666666666667,3.1,"0.0281026742838179",-1.66666666666667,-0.9,"0.491427161518427",3.33333333333333,4,"0.435396265080321"
"3",3,2.84671532846715,2.81818181818182,"0.873097260322519",-1.00729927007299,-1.18181818181818,"0.425479957808328",3.85401459854015,4,"0.272128653884943"
"4",4,2.85,3.3030303030303,"0.0363846340717415",-1.025,-0.454545454545455,"0.0717271842112535",3.875,3.75757575757576,"0.613354882959658"
"5",5,2.76666666666667,2.89473684210526,"0.734183913688288",-1.2,-1.10526315789474,"0.834362710693884",3.96666666666667,4,"0.896414795731702"
"6",6,2.50909090909091,3,"0.0506438836210277",-1.30909090909091,-1.23076923076923,"0.801104205885493",3.81818181818182,4.23076923076923,"0.0142436239745835"
"7",7,2.68421052631579,2.6,"0.887228080566543",-0.894736842105263,-1.6,"0.490333239736921",3.57894736842105,4.2,"0.211601841746488"
"8",8,3.57142857142857,3,"0.232351346926445",-0.214285714285714,-0.875,"0.238165187122004",3.78571428571429,3.875,"0.817028609542454"
"9",9,3,3.5,"not enough 'x' observations",-1,-0.5,"not enough 'x' observations",4,4,"not enough 'x' observations"
"10",10,2.82872928176796,3.15469613259669,"0.00286990096624689",-0.939226519337017,-0.834254143646409,"0.413745151099562",3.76795580110497,3.98895027624309,"0.00914174419287497"
"11",11,2.9,2.77777777777778,"0.819403726363826",-1.15,-1.55555555555556,"0.537411501681412",4.05,4.33333333333333,"0.356509093624863"
"12",12,3.18518518518519,3.13333333333333,"0.892763501054783",-0.703703703703704,-1.06666666666667,"0.412592237859294",3.88888888888889,4.2,"0.211877912637787"
"13",13,2.66666666666667,1,"not enough 'y' observations",-1.33333333333333,-2,"not enough 'y' observations",4,3,"not enough 'y' observations"
"14",14,2.88888888888889,3.31578947368421,"0.0883960163716121",-1.07936507936508,-0.842105263157895,"0.447090064315182",3.96825396825397,4.15789473684211,"0.230971051380955"
"15",15,3.2,3.5,"0.674315664519831",-1,-1.5,"0.494973296636812",4.2,5,"0.00311042831038586"
"16",16,2.93333333333333,3.5,"0.385483954925049",-1.13333333333333,-0.75,"0.626555796733522",4.06666666666667,4.25,"0.58769933661725"
"17",17,3.33333333333333,3.5,"0.808768444141451",-1,-1.5,"0.5",4.33333333333333,5,"0.183503419072274"
"18",18,2.66666666666667,3.66666666666667,"0.303683333920526",-1.33333333333333,-0.666666666666667,"0.560444454751633",4,4.33333333333333,"0.422649730810375"
