"","CountryCode","Male_correct","Female_correct","Pvalue_correct","Male_score","Female_score","Pvalue_score","Male_self","Female_self","Pvalue_self"
"1",1,2.57786885245902,2.64705882352941,"0.528234288732294",-1.2172131147541,-1.23109243697479,"0.917061960460099",3.79508196721311,3.8781512605042,"0.338035882956488"
"2",2,2.625,3.23636363636364,"0.244817199495889",-0.375,-0.581818181818182,"0.79226887342475",3,3.81818181818182,"0.0709886553544497"
"3",3,2.74722838137472,3.04147465437788,"0.00238815524093768",-0.951219512195122,-0.80184331797235,"0.19682134492522",3.69844789356984,3.84331797235023,"0.0481774318772677"
"4",4,2.89112903225806,3.11214953271028,"0.107222111587627",-0.887096774193548,-0.85981308411215,"0.874362599663024",3.77822580645161,3.97196261682243,"0.0561267840255715"
"5",5,2.78688524590164,2.90909090909091,"0.519916320231371",-1.10655737704918,-1.01818181818182,"0.693702714179855",3.89344262295082,3.92727272727273,"0.791751289460787"
"6",6,2.80628272251309,2.98039215686275,"0.249238697402035",-1.10471204188482,-1,"0.554616799144723",3.91099476439791,3.98039215686275,"0.533181619512608"
"7",7,2.94805194805195,3.31578947368421,"0.150238942723061",-0.792207792207792,-0.684210526315789,"0.726418336560581",3.74025974025974,4,"0.211656536569054"
"8",8,3.20754716981132,3.28125,"0.768880056565067",-0.358490566037736,-0.625,"0.333567198170913",3.56603773584906,3.90625,"0.0735324910777864"
"9",9,2.52941176470588,3.7,"0.0104909995245484",-1.23529411764706,-0.1,"0.0155211482972341",3.76470588235294,3.8,"0.91894419506875"
"10",10,2.86905754795663,3.01032448377581,"0.011238822594051",-0.809841534612177,-0.902654867256637,"0.165908391595314",3.67889908256881,3.91297935103245,"4.98702806725425e-08"
"11",11,2.81538461538462,2.93103448275862,"0.734916716504265",-1.18461538461538,-1.20689655172414,"0.954338690409893",4,4.13793103448276,"0.472924513894532"
"12",12,2.90909090909091,3.30612244897959,"0.0765566118898144",-0.787878787878788,-0.714285714285714,"0.767949375690252",3.6969696969697,4.02040816326531,"0.0213741032073954"
"13",13,2.81818181818182,2.28571428571429,"0.307016285055657",-0.818181818181818,-0.857142857142857,"0.964898103333331",3.63636363636364,3.14285714285714,"0.487303316096686"
"14",14,2.90513833992095,3.34745762711864,"0.0013023911057061",-0.873517786561265,-0.533898305084746,"0.0540676035171008",3.77865612648221,3.88135593220339,"0.33815193054993"
"15",15,3.15384615384615,3.57142857142857,"0.446725640091345",-0.846153846153846,-0.714285714285714,"0.859725080362583",4,4.28571428571429,"0.390240178831897"
"16",16,3.08333333333333,3.33333333333333,"0.431521510765769",-0.583333333333333,-0.466666666666667,"0.735310169411409",3.66666666666667,3.8,"0.602310037797613"
"17",17,3,3.75,"0.13865794266664",-0.6,-0.25,"0.638582402244706",3.6,4,"0.330027494443382"
"18",18,2.78260869565217,3.07692307692308,"0.466517808576851",-0.869565217391304,-1,"0.803988764775337",3.65217391304348,4.07692307692308,"0.243860107936404"
"19",19,2.9845644983462,3.28120516499283,"6.15084260358739e-13",-0.732635060639471,-0.618364418938307,"0.0244438471029773",3.71719955898567,3.89956958393113,"2.02926744335222e-08"
"20",20,3.03703703703704,3.6,"0.117549430100322",-0.666666666666667,-0.533333333333333,"0.743204835017263",3.7037037037037,4.13333333333333,"0.0381497073409123"
"21",21,3.12916666666667,3.36075949367089,"0.0333951765788611",-0.570833333333333,-0.379746835443038,"0.123101904741349",3.7,3.74050632911392,"0.611355393752392"
"22",22,2.75675675675676,3.66666666666667,"0.0134583925203316",-0.648648648648649,-0.333333333333333,"0.5329646216415",3.40540540540541,4,"0.083615714508244"
"23",23,1.73684210526316,2.5,"0.247093674231061",-1.94736842105263,-0.75,"0.118231268403052",3.68421052631579,3.25,"0.314169116821614"
"24",24,2.70833333333333,3.20833333333333,"0.123591508684675",-1.25,-0.75,"0.12770831421137",3.95833333333333,3.95833333333333,"1"
"25",25,2.73684210526316,3.01612903225806,"0.241971959254663",-1.15789473684211,-0.741935483870968,"0.0928816915489287",3.89473684210526,3.75806451612903,"0.343264982249207"
"26",26,2.9,3.10810810810811,"0.251566427696965",-0.971428571428571,-0.837837837837838,"0.552299670123926",3.87142857142857,3.94594594594595,"0.598829561932633"
"27",27,2.32608695652174,2.70689655172414,"0.0424494636283925",-1.33333333333333,-1,"0.102416615949173",3.65942028985507,3.70689655172414,"0.699985357764165"
"28",28,2.41426783479349,2.83695652173913,"4.65137090583359e-12",-1.40675844806007,-1.23641304347826,"0.0174308175803545",3.82102628285357,4.07336956521739,"7.52622386804343e-09"
"29",29,2.66346153846154,2.86231884057971,"0.134383092560703",-1.0625,-0.869565217391304,"0.244484222158493",3.72596153846154,3.73188405797101,"0.958050616393765"
"30",30,3.08333333333333,3.75,"0.457006761442634",-0.416666666666667,-0.25,"0.85113887311171",3.5,4,"0.325013004744138"
"31",31,2.37651821862348,2.73248407643312,"0.00351649276539411",-1.40485829959514,-1,"0.00570886112576691",3.78137651821862,3.73248407643312,"0.592388336295762"
