"","CountryCode","Male_correct","Female_correct","Pvalue_correct","Male_score","Female_score","Pvalue_score","Male_self","Female_self","Pvalue_self"
"1",1,2.58235294117647,2.65384615384615,"0.594377485140115",-1.16470588235294,-1.24358974358974,"0.635661038608873",3.74705882352941,3.8974358974359,"0.155595108401187"
"2",2,2.83333333333333,3.26666666666667,"0.517103778590123",0.333333333333333,-0.511111111111111,"0.329846227674872",2.5,3.77777777777778,"0.0503770940403962"
"3",3,2.67901234567901,3.10365853658537,"0.000196895152504164",-0.91358024691358,-0.682926829268293,"0.0845453034387964",3.59259259259259,3.78658536585366,"0.0267007273873171"
"4",4,2.91428571428571,3.01315789473684,"0.561843229162844",-0.782857142857143,-1.02631578947368,"0.226678582561527",3.69714285714286,4.03947368421053,"0.00115160278961055"
"5",5,2.77659574468085,2.89189189189189,"0.597421641440635",-1.1063829787234,-1.02702702702703,"0.766838764160235",3.88297872340426,3.91891891891892,"0.812833374251851"
"6",6,2.88571428571429,2.975,"0.625981944826363",-1.04285714285714,-0.8625,"0.38534221901875",3.92857142857143,3.8375,"0.516551275192703"
"7",7,3.04838709677419,3.4,"0.238681823384281",-0.661290322580645,-0.6,"0.8476924660402",3.70967741935484,4,"0.220846574650769"
"8",8,3.075,3.33333333333333,"0.355382681536489",-0.425,-0.518518518518518,"0.758562945440061",3.5,3.85185185185185,"0.0942129350527033"
"9",9,2.5,3.75,"0.0152726660560977",-1.25,0,"0.01809049452525",3.75,3.75,"1"
"10",10,2.87314285714286,2.94186046511628,"0.282640940746066",-0.740571428571429,-0.918604651162791,"0.0225294982479286",3.61371428571429,3.86046511627907,"8.79460734759318e-07"
"11",11,2.76086956521739,2.95238095238095,"0.653107919299875",-1.21739130434783,-0.952380952380952,"0.581323989135456",3.97826086956522,3.9047619047619,"0.790741970297026"
"12",12,2.77027027027027,3.26315789473684,"0.0645852374355482",-0.824324324324324,-0.605263157894737,"0.450736939425719",3.59459459459459,3.86842105263158,"0.12969546374358"
"13",13,2.875,2.57142857142857,"0.498907179772495",-0.625,-0.571428571428571,"0.952477672010535",3.5,3.14285714285714,"0.650250036082021"
"14",14,2.91145833333333,3.35802469135802,"0.00688578512151285",-0.802083333333333,-0.358024691358025,"0.0377340275473443",3.71354166666667,3.71604938271605,"0.985620098342235"
"15",15,3.125,3.6,"0.537977691460042",-0.75,-0.4,"0.736032953814318",3.875,4,"0.741457439256235"
"16",16,3.16666666666667,3.44444444444444,"0.462972163213724",-0.25,-0.185185185185185,"0.885115415340064",3.41666666666667,3.62962962962963,"0.501288121795418"
"17",17,2.85714285714286,3.83333333333333,"0.160536724894905",-0.428571428571429,0.166666666666667,"0.536783898621296",3.28571428571429,3.66666666666667,"0.346908486493838"
"18",18,2.72222222222222,2.9,"0.698491656396223",-0.666666666666667,-1.1,"0.484471017210468",3.38888888888889,4,"0.212871157258065"
